clasificador,C,gamma,weight_color,f1_score
SVM,10.0,scale,0.5,0.7026471753209791
SVM,10.0,scale,0.6,0.6881437337308858
SVM,10.0,scale,0.7,0.667874307497653
SVM,10.0,scale,0.8,0.6560445720956816
SVM,10.0,auto,0.2,0.4276116215369587
SVM,10.0,auto,0.3,0.431894218852512
SVM,10.0,auto,0.4,0.4429349382870712
SVM,10.0,auto,0.5,0.4401858371421688
SVM,10.0,auto,0.6,0.42016481841008113
SVM,10.0,auto,0.7,0.40126717188729344
SVM,10.0,auto,0.8,0.3807060832126354
SVM,10.0,0.01,0.2,0.4455778934230139
SVM,10.0,0.01,0.3,0.44391935203599864
SVM,10.0,0.01,0.4,0.45443670744875364
SVM,10.0,0.01,0.5,0.4562489064859042
SVM,10.0,0.01,0.6,0.4392452802194592
SVM,10.0,0.01,0.7,0.4172804339083839
SVM,10.0,0.01,0.8,0.3966053551127269
SVM,10.0,0.001,0.2,0.4214847929040899
SVM,10.0,0.001,0.3,0.43480441597451
SVM,10.0,0.001,0.4,0.43724367743986814
SVM,10.0,0.001,0.5,0.4323964177450038
SVM,10.0,0.001,0.6,0.4115073771657583
SVM,10.0,0.001,0.7,0.3941940735777452
SVM,10.0,0.001,0.8,0.3662295194324158
SVM,100.0,scale,0.2,0.7031067218041798
SVM,100.0,scale,0.3,0.7091507378105424
SVM,100.0,scale,0.4,0.7098406046139492
SVM,100.0,scale,0.5,0.6990110241283726
SVM,100.0,scale,0.6,0.6840846398130166
SVM,100.0,scale,0.7,0.6658709540819274
SVM,100.0,scale,0.8,0.6551628353297257
SVM,100.0,auto,0.2,0.44113219008689936
SVM,100.0,auto,0.3,0.44165478394058033
SVM,100.0,auto,0.4,0.45622594218819107
SVM,100.0,auto,0.5,0.4552746928207657
SVM,100.0,auto,0.6,0.43320159120874546
SVM,100.0,auto,0.7,0.4252650902918765
SVM,100.0,auto,0.8,0.410654868813486
SVM,100.0,0.01,0.2,0.4696201806096295
SVM,100.0,0.01,0.3,0.4725960141412485
SVM,100.0,0.01,0.4,0.4630080115467252
SVM,100.0,0.01,0.5,0.47474851864339207
SVM,100.0,0.01,0.6,0.46734872468891664
SVM,100.0,0.01,0.7,0.44997118053398893
SVM,100.0,0.01,0.8,0.43429392397377964
SVM,100.0,0.001,0.2,0.4364968026505995
SVM,100.0,0.001,0.3,0.4408897180318331
SVM,100.0,0.001,0.4,0.45273356107924057
SVM,100.0,0.001,0.5,0.45187234960930106
SVM,100.0,0.001,0.6,0.43765425483071263
SVM,100.0,0.001,0.7,0.4150861518752751
SVM,100.0,0.001,0.8,0.39387797839579597
SVM,1000.0,scale,0.2,0.7031067218041798
SVM,1000.0,scale,0.3,0.7091507378105424
SVM,1000.0,scale,0.4,0.7098406046139492
SVM,1000.0,scale,0.5,0.6990110241283726
SVM,1000.0,scale,0.6,0.6840846398130166
SVM,1000.0,scale,0.7,0.6658709540819274
SVM,1000.0,scale,0.8,0.6551628353297257
SVM,1000.0,auto,0.2,0.45510162829913164
SVM,1000.0,auto,0.3,0.4600732909175571
SVM,1000.0,auto,0.4,0.4563643064338268
SVM,1000.0,auto,0.5,0.44881181011553223
SVM,1000.0,auto,0.6,0.4481250695722461
SVM,1000.0,auto,0.7,0.42994476779522894
SVM,1000.0,auto,0.8,0.4212977175939724
SVM,1000.0,0.01,0.2,0.5073851581733575
SVM,1000.0,0.01,0.3,0.5042129836183215
SVM,1000.0,0.01,0.4,0.49784492585137474
SVM,1000.0,0.01,0.5,0.4782552281696236
SVM,1000.0,0.01,0.6,0.4637887108473609
SVM,1000.0,0.01,0.7,0.4453006604564999
SVM,1000.0,0.01,0.8,0.4250000696822373
SVM,1000.0,0.001,0.2,0.44994563069467686
SVM,1000.0,0.001,0.3,0.4606067639731141
SVM,1000.0,0.001,0.4,0.4530331101369793
SVM,1000.0,0.001,0.5,0.4597505331248345
SVM,1000.0,0.001,0.6,0.44675604155143994
SVM,1000.0,0.001,0.7,0.43587749463185127
SVM,1000.0,0.001,0.8,0.4241965726196807
