clasificador,n_estimators,max_depth,max_features,bootstrap,weight_color,f1_score
RF,100,,log2,True,0.7,0.6720244829491883
RF,100,,log2,True,0.8,0.6552843675000489
RF,100,,log2,False,0.2,0.6818700500097447
RF,100,,log2,False,0.3,0.6827040384920118
RF,100,,log2,False,0.4,0.6862292481226341
RF,100,,log2,False,0.5,0.6819904216389189
RF,100,,log2,False,0.6,0.6781911864500738
RF,100,,log2,False,0.7,0.6763516983320074
RF,100,,log2,False,0.8,0.6601224092082738
RF,100,,0.5,True,0.2,0.6812605563722445
RF,100,,0.5,True,0.3,0.6842436602193871
RF,100,,0.5,True,0.4,0.6849459873894523
RF,100,,0.5,True,0.5,0.6871052683661695
RF,100,,0.5,True,0.6,0.686477754188749
RF,100,,0.5,True,0.7,0.6777114476614239
RF,100,,0.5,True,0.8,0.6667559007701758
RF,100,,0.5,False,0.2,0.6821096462158428
RF,100,,0.5,False,0.3,0.6874517799207609
RF,100,,0.5,False,0.4,0.6870435895798033
RF,100,,0.5,False,0.5,0.684774751174373
RF,100,,0.5,False,0.6,0.6837453950867226
RF,100,,0.5,False,0.7,0.6690375174323894
RF,100,,0.5,False,0.8,0.6576001808896998
RF,100,10.0,sqrt,True,0.2,0.5207236719742409
RF,100,10.0,sqrt,True,0.3,0.5355577012952522
RF,100,10.0,sqrt,True,0.4,0.5395238955139688
RF,100,10.0,sqrt,True,0.5,0.5448708696405112
RF,100,10.0,sqrt,True,0.6,0.5369194031939584
RF,100,10.0,sqrt,True,0.7,0.5429990793276939
RF,100,10.0,sqrt,True,0.8,0.5363775943569392
RF,100,10.0,sqrt,False,0.2,0.542095080930447
RF,100,10.0,sqrt,False,0.3,0.5537516224740119
RF,100,10.0,sqrt,False,0.4,0.5639045880702559
RF,100,10.0,sqrt,False,0.5,0.5638867044106064
RF,100,10.0,sqrt,False,0.6,0.568400161174553
RF,100,10.0,sqrt,False,0.7,0.5733423693968693
RF,100,10.0,sqrt,False,0.8,0.5625993481257459
RF,100,10.0,log2,True,0.2,0.4780333776048876
RF,100,10.0,log2,True,0.3,0.49276347211857585
RF,100,10.0,log2,True,0.4,0.495874078458315
RF,100,10.0,log2,True,0.5,0.49991249270237603
RF,100,10.0,log2,True,0.6,0.49704374606713503
RF,100,10.0,log2,True,0.7,0.507592199275794
RF,100,10.0,log2,True,0.8,0.4923882332712476
RF,100,10.0,log2,False,0.2,0.5092195490796418
RF,100,10.0,log2,False,0.3,0.5194402698192702
RF,100,10.0,log2,False,0.4,0.5249572347281091
RF,100,10.0,log2,False,0.5,0.5274589260503085
RF,100,10.0,log2,False,0.6,0.5245005153399821
RF,100,10.0,log2,False,0.7,0.522547269260335
RF,100,10.0,log2,False,0.8,0.5117875114783813
RF,100,10.0,0.5,True,0.2,0.5782224240508039
RF,100,10.0,0.5,True,0.3,0.5842574570140826
RF,100,10.0,0.5,True,0.4,0.595647774488241
RF,100,10.0,0.5,True,0.5,0.5947071653748985
RF,100,10.0,0.5,True,0.6,0.5946817970869256
RF,100,10.0,0.5,True,0.7,0.5907484986785884
RF,100,10.0,0.5,True,0.8,0.5779448525125044
RF,100,10.0,0.5,False,0.2,0.5858033973906356
RF,100,10.0,0.5,False,0.3,0.6006175969033454
RF,100,10.0,0.5,False,0.4,0.6022233499862949
RF,100,10.0,0.5,False,0.5,0.6091846995805965
RF,100,10.0,0.5,False,0.6,0.6127519967416118
RF,100,10.0,0.5,False,0.7,0.605123187318734
RF,100,10.0,0.5,False,0.8,0.5869978742952269
RF,100,20.0,sqrt,True,0.2,0.6770609854415252
RF,100,20.0,sqrt,True,0.3,0.6760027070380417
RF,100,20.0,sqrt,True,0.4,0.677928332246862
RF,100,20.0,sqrt,True,0.5,0.6802466148218056
RF,100,20.0,sqrt,True,0.6,0.6746517800664101
RF,100,20.0,sqrt,True,0.7,0.6671068220228129
RF,100,20.0,sqrt,True,0.8,0.6544019871990706
RF,100,20.0,sqrt,False,0.2,0.6880594368970574
RF,100,20.0,sqrt,False,0.3,0.6906485677797736
RF,100,20.0,sqrt,False,0.4,0.6936897907148788
RF,100,20.0,sqrt,False,0.5,0.6950952493324228
RF,100,20.0,sqrt,False,0.6,0.6914387007072691
RF,100,20.0,sqrt,False,0.7,0.6852623782695523
RF,100,20.0,sqrt,False,0.8,0.6717226501293346
RF,100,20.0,log2,True,0.2,0.6780482244619386
RF,100,20.0,log2,True,0.3,0.6748784074352666
RF,100,20.0,log2,True,0.4,0.6770725921214472
RF,100,20.0,log2,True,0.5,0.6765521984680605
RF,100,20.0,log2,True,0.6,0.6693234245449509
RF,100,20.0,log2,True,0.7,0.6627875315669204
RF,100,20.0,log2,True,0.8,0.6444148980300353
RF,100,20.0,log2,False,0.2,0.6789948392191202
RF,100,20.0,log2,False,0.3,0.6806667256199735
RF,100,20.0,log2,False,0.4,0.6852782532571936
RF,100,20.0,log2,False,0.5,0.683770446686703
RF,100,20.0,log2,False,0.6,0.6733832316828604
RF,100,20.0,log2,False,0.7,0.6624393254391251
RF,100,20.0,log2,False,0.8,0.6535573792905002
RF,100,20.0,0.5,True,0.2,0.6755104922564323
RF,100,20.0,0.5,True,0.3,0.6803017669126308
RF,100,20.0,0.5,True,0.4,0.6821134263828219
RF,100,20.0,0.5,True,0.5,0.6774147120485827
RF,100,20.0,0.5,True,0.6,0.6788549306456739
RF,100,20.0,0.5,True,0.7,0.6672864059725667
RF,100,20.0,0.5,True,0.8,0.6517303620424494
RF,100,20.0,0.5,False,0.2,0.6838893667960226
RF,100,20.0,0.5,False,0.3,0.68780151433573
RF,100,20.0,0.5,False,0.4,0.6887386446516943
RF,100,20.0,0.5,False,0.5,0.6872152265699947
RF,100,20.0,0.5,False,0.6,0.6786858778466354
RF,100,20.0,0.5,False,0.7,0.6773292131738218
RF,100,20.0,0.5,False,0.8,0.6629365715869291
RF,100,30.0,sqrt,True,0.2,0.677660468462268
RF,100,30.0,sqrt,True,0.3,0.6802836629017255
RF,100,30.0,sqrt,True,0.4,0.6781639969867412
RF,100,30.0,sqrt,True,0.5,0.6782587902082583
RF,100,30.0,sqrt,True,0.6,0.6722055698896889
RF,100,30.0,sqrt,True,0.7,0.6639576635053028
RF,100,30.0,sqrt,True,0.8,0.6527322277002916
RF,100,30.0,sqrt,False,0.2,0.6905870993334979
RF,100,30.0,sqrt,False,0.3,0.6883636803901071
RF,100,30.0,sqrt,False,0.4,0.694563613738062
RF,100,30.0,sqrt,False,0.5,0.6906420445065542
RF,100,30.0,sqrt,False,0.6,0.684132861240073
RF,100,30.0,sqrt,False,0.7,0.6836847803896575
RF,100,30.0,sqrt,False,0.8,0.673862980457772
RF,100,30.0,log2,True,0.2,0.6732758841477327
RF,100,30.0,log2,True,0.3,0.6747342222887962
RF,100,30.0,log2,True,0.4,0.6761086918710391
RF,100,30.0,log2,True,0.5,0.6804575174793009
RF,100,30.0,log2,True,0.6,0.6758610918552491
RF,100,30.0,log2,True,0.7,0.6700622441592228
RF,100,30.0,log2,True,0.8,0.6547591584372661
RF,100,30.0,log2,False,0.2,0.6849741349330934
RF,100,30.0,log2,False,0.3,0.687078724082453
RF,100,30.0,log2,False,0.4,0.6852253557633623
RF,100,30.0,log2,False,0.5,0.6849783864584735
RF,100,30.0,log2,False,0.6,0.6810585198127461
RF,100,30.0,log2,False,0.7,0.6740967208660094
RF,100,30.0,log2,False,0.8,0.6602924242612438
RF,100,30.0,0.5,True,0.2,0.6821832850806653
RF,100,30.0,0.5,True,0.3,0.6816775518422327
RF,100,30.0,0.5,True,0.4,0.682593500169274
RF,100,30.0,0.5,True,0.5,0.6875060662950895
RF,100,30.0,0.5,True,0.6,0.6867776036829305
RF,100,30.0,0.5,True,0.7,0.680716420056888
RF,100,30.0,0.5,True,0.8,0.6603956567755216
RF,100,30.0,0.5,False,0.2,0.6842070475545126
RF,100,30.0,0.5,False,0.3,0.6852831939572777
RF,100,30.0,0.5,False,0.4,0.6897570394572641
RF,100,30.0,0.5,False,0.5,0.6829379822021905
RF,100,30.0,0.5,False,0.6,0.6816529273911447
RF,100,30.0,0.5,False,0.7,0.6776690759657974
RF,100,30.0,0.5,False,0.8,0.6587422991043479
RF,200,,sqrt,True,0.2,0.6678381171977262
RF,200,,sqrt,True,0.3,0.675311155738944
RF,200,,sqrt,True,0.4,0.6793143617583591
RF,200,,sqrt,True,0.5,0.6780656325717
RF,200,,sqrt,True,0.6,0.6764793268422113
RF,200,,sqrt,True,0.7,0.6650317815624611
RF,200,,sqrt,True,0.8,0.6562812491746588
RF,200,,sqrt,False,0.2,0.6853336649943073
RF,200,,sqrt,False,0.3,0.6859625026407682
RF,200,,sqrt,False,0.4,0.6874105277943356
RF,200,,sqrt,False,0.5,0.6887252125967394
RF,200,,sqrt,False,0.6,0.6821231246925803
RF,200,,sqrt,False,0.7,0.6774198887223937
RF,200,,sqrt,False,0.8,0.6676973845431025
RF,200,,log2,True,0.2,0.674906931611421
RF,200,,log2,True,0.3,0.6758626673074611
RF,200,,log2,True,0.4,0.6778834972512485
RF,200,,log2,True,0.5,0.6792325809032329
RF,200,,log2,True,0.6,0.67822598831405
RF,200,,log2,True,0.7,0.6698490527405563
RF,200,,log2,True,0.8,0.6622023186646742
RF,200,,log2,False,0.2,0.6869076699183265
RF,200,,log2,False,0.3,0.6873888832402918
RF,200,,log2,False,0.4,0.6833336750847404
RF,200,,log2,False,0.5,0.6784936501170051
RF,200,,log2,False,0.6,0.6814102611446622
RF,200,,log2,False,0.7,0.6771775063910372
RF,200,,log2,False,0.8,0.658308418352757
RF,200,,0.5,True,0.2,0.679410694025917
RF,200,,0.5,True,0.3,0.6823787464197887
RF,200,,0.5,True,0.4,0.685914743143258
RF,200,,0.5,True,0.5,0.6814881584592348
RF,200,,0.5,True,0.6,0.6840370808991688
RF,200,,0.5,True,0.7,0.68024217890238
RF,200,,0.5,True,0.8,0.668697477959003
RF,200,,0.5,False,0.2,0.681455997525956
RF,200,,0.5,False,0.3,0.6834498924544142
RF,200,,0.5,False,0.4,0.6861932849926908
RF,200,,0.5,False,0.5,0.6854711822833299
RF,200,,0.5,False,0.6,0.6834368100653672
RF,200,,0.5,False,0.7,0.6807773459190085
RF,200,,0.5,False,0.8,0.6647281489865879
RF,200,10.0,sqrt,True,0.2,0.5187641963617573
RF,200,10.0,sqrt,True,0.3,0.5329581764292239
RF,200,10.0,sqrt,True,0.4,0.5342687539990242
RF,200,10.0,sqrt,True,0.5,0.5388378165629896
RF,200,10.0,sqrt,True,0.6,0.5375136006572123
RF,200,10.0,sqrt,True,0.7,0.5509858778271182
RF,200,10.0,sqrt,True,0.8,0.5466529062710983
RF,200,10.0,sqrt,False,0.2,0.5390863456187691
RF,200,10.0,sqrt,False,0.3,0.5526530914258827
RF,200,10.0,sqrt,False,0.4,0.5655386307450562
RF,200,10.0,sqrt,False,0.5,0.56933611399759
RF,200,10.0,sqrt,False,0.6,0.5799926504307058
RF,200,10.0,sqrt,False,0.7,0.5675865231589488
RF,200,10.0,sqrt,False,0.8,0.5537513893085695
RF,200,10.0,log2,True,0.2,0.48585822192186023
RF,200,10.0,log2,True,0.3,0.491934107252778
RF,200,10.0,log2,True,0.4,0.4986001697048697
RF,200,10.0,log2,True,0.5,0.5007815965486659
RF,200,10.0,log2,True,0.6,0.502842786641229
RF,200,10.0,log2,True,0.7,0.5052501560751748
RF,200,10.0,log2,True,0.8,0.49347303212284144
RF,200,10.0,log2,False,0.2,0.5122346483924117
RF,200,10.0,log2,False,0.3,0.5192025331009495
RF,200,10.0,log2,False,0.4,0.5273162624764084
RF,200,10.0,log2,False,0.5,0.5262060843566437
RF,200,10.0,log2,False,0.6,0.5245548397032895
RF,200,10.0,log2,False,0.7,0.5260930202306513
RF,200,10.0,log2,False,0.8,0.5148388221309343
RF,200,10.0,0.5,True,0.2,0.5738455714100111
RF,200,10.0,0.5,True,0.3,0.5855718660328015
RF,200,10.0,0.5,True,0.4,0.6023494876086082
RF,200,10.0,0.5,True,0.5,0.6050033596921619
RF,200,10.0,0.5,True,0.6,0.6024018641732729
RF,200,10.0,0.5,True,0.7,0.5877639813491291
RF,200,10.0,0.5,True,0.8,0.5767015465334764
RF,200,10.0,0.5,False,0.2,0.5831182528043148
RF,200,10.0,0.5,False,0.3,0.6047637816313289
RF,200,10.0,0.5,False,0.4,0.6142716214751333
RF,200,10.0,0.5,False,0.5,0.61884067241676
RF,200,10.0,0.5,False,0.6,0.6165182426706349
RF,200,10.0,0.5,False,0.7,0.6022594808566175
RF,200,10.0,0.5,False,0.8,0.5837343602670254
RF,200,20.0,sqrt,True,0.2,0.6736165546996753
RF,200,20.0,sqrt,True,0.3,0.6767538812951466
RF,200,20.0,sqrt,True,0.4,0.6780410575863305
RF,200,20.0,sqrt,True,0.5,0.6793573936928274
RF,200,20.0,sqrt,True,0.6,0.6769088554511894
